iter	Passed	Remaining
1237	10081	22116
1238	10088	22107
1239	10097	22100
1240	10105	22091
1241	10113	22082
1242	10121	22074
1243	10130	22067
1244	10138	22059
1245	10145	22049
1246	10153	22041
1247	10161	22032
1248	10168	22022
1249	10177	22015
1250	10185	22008
1251	10193	21999
1252	10201	21991
1253	10208	21980
1254	10217	21973
1255	10225	21965
1256	10234	21958
1257	10241	21948
1258	10250	21941
1259	10259	21934
1260	10267	21927
1261	10275	21918
1262	10282	21908
1263	10290	21899
1264	10298	21892
1265	10306	21883
1266	10315	21877
1267	10325	21871
1268	10333	21863
1269	10341	21855
1270	10349	21847
1271	10357	21838
1272	10366	21831
1273	10374	21823
1274	10382	21815
1275	10389	21805
1276	10398	21797
1277	10406	21789
1278	10414	21781
1279	10423	21774
1280	10431	21766
1281	10438	21757
1282	10446	21748
1283	10454	21740
1284	10462	21730
1285	10469	21721
1286	10477	21713
1287	10486	21706
1288	10494	21696
1289	10502	21688
1290	10509	21678
1291	10518	21671
1292	10526	21662
1293	10534	21655
1294	10543	21648
1295	10551	21640
1296	10560	21633
1297	10567	21624
1298	10576	21616
1299	10584	21607
1300	10592	21599
1301	10600	21591
1302	10608	21583
1303	10617	21576
1304	10626	21570
1305	10634	21562
1306	10643	21554
1307	10651	21546
1308	10659	21538
1309	10667	21530
1310	10676	21523
1311	10684	21514
1312	10692	21506
1313	10700	21499
1314	10709	21492
1315	10718	21486
1316	10726	21477
1317	10733	21467
1318	10741	21459
1319	10749	21450
1320	10758	21443
1321	10767	21436
1322	10775	21427
1323	10782	21418
1324	10790	21410
1325	10799	21403
1326	10807	21395
1327	10815	21386
1328	10823	21378
1329	10831	21369
1330	10838	21360
1331	10847	21353
1332	10855	21345
1333	10864	21337
1334	10872	21329
1335	10880	21321
1336	10888	21312
1337	10896	21304
1338	10904	21295
1339	10912	21286
1340	10919	21277
1341	10927	21268
1342	10935	21260
1343	10943	21252
1344	10951	21244
1345	10959	21235
1346	10968	21227
1347	10976	21220
1348	10985	21212
1349	10993	21204
1350	11000	21195
1351	11008	21186
1352	11016	21178
1353	11024	21169
1354	11032	21161
1355	11040	21153
1356	11048	21145
1357	11056	21136
1358	11065	21128
1359	11073	21120
1360	11080	21111
1361	11088	21102
1362	11096	21094
1363	11105	21087
1364	11114	21080
1365	11123	21073
1366	11130	21064
1367	11139	21057
1368	11147	21049
1369	11154	21039
1370	11162	21029
1371	11170	21021
1372	11177	21012
1373	11186	21004
1374	11195	20998
1375	11203	20991
1376	11212	20983
1377	11220	20974
1378	11227	20964
1379	11235	20956
1380	11243	20948
1381	11251	20939
1382	11258	20930
1383	11267	20922
1384	11275	20913
1385	11283	20905
1386	11291	20897
1387	11299	20888
1388	11308	20882
1389	11317	20877
1390	11326	20869
1391	11334	20861
1392	11343	20855
1393	11352	20847
1394	11360	20838
1395	11367	20830
1396	11375	20821
1397	11384	20813
1398	11392	20805
1399	11400	20797
1400	11407	20788
1401	11416	20780
1402	11424	20772
1403	11432	20764
